club,num,last,first,gm,ki,mk,hb,di,gl,bh,ho,tk,rb,if50,cl,cg,ff,fa,br,cp,up,cm,mi,onepct,bo,ga,pctp,src
ADE,12,Dawson,Jordan,22,382,114,202,584,22,8,0,126,58,101,91,97,28,27,21,201,349,13,12,28,12,15,83.0,2026
ADE,3,Berry,Sam,24,265,62,277,542,2,8,1,167,26,80,132,76,27,28,10,276,285,4,1,22,7,12,71.3,2026
ADE,23,Rankine,Izak,22,327,95,209,536,25,19,0,91,51,103,114,84,23,18,25,242,293,5,5,34,12,11,79.5,2026
ADE,24,Worrell,Josh,24,330,133,188,518,0,0,0,41,131,30,16,50,27,17,0,158,283,7,0,95,12,1,88.1,2026
ADE,30,Milera,Wayne,20,330,117,171,501,3,0,0,48,104,46,23,49,12,15,0,120,305,9,0,33,5,4,80.6,2026
ADE,29,Laird,Rory,20,255,131,211,466,1,0,0,49,62,34,19,46,16,12,1,111,328,4,0,30,4,6,78.1,2026
ADE,25,Peatling,James,21,240,57,172,412,4,8,0,94,30,55,86,48,38,13,2,188,221,3,3,14,1,10,70.1,2026
ADE,15,Cook,Brayden,24,264,112,137,401,12,5,0,45,62,68,28,50,10,11,0,126,270,4,10,31,14,13,80.4,2026
ADE,8,Rachele,Josh,25,266,79,125,391,42,21,0,57,17,74,38,89,26,28,8,156,211,2,24,18,4,24,80.5,2026
ADE,28,Neal-Bullen,Alex,23,217,90,171,388,13,14,0,81,17,71,24,55,22,11,1,145,241,3,14,24,0,15,83.0,2026
ADE,2,Keays,Ben,25,205,68,155,360,34,13,0,77,9,63,19,59,19,19,0,135,205,5,19,21,1,30,86.0,2026
ADE,14,Soligo,Jake,22,200,64,158,358,9,8,0,87,24,56,42,63,28,28,1,148,199,3,10,10,4,14,73.8,2026
ADE,16,Michalanney,Max,25,210,119,140,350,0,1,0,65,68,25,11,44,18,20,0,90,259,7,1,52,2,4,82.5,2026
ADE,7,Thilthorpe,Riley,22,185,122,103,288,37,29,82,36,3,60,27,50,17,15,5,147,143,48,56,33,3,16,83.2,2026
ADE,6,Curtin,Daniel,18,178,69,107,285,4,7,1,63,32,52,41,47,15,9,0,124,161,9,5,34,5,11,77.7,2026
ADE,42,McAndrew,Lachlan,24,132,56,146,278,7,3,771,108,20,50,104,71,36,41,1,193,94,20,5,65,0,9,72.3,2026
ADE,27,Nankervis,Luke,18,154,61,122,276,5,2,0,47,29,20,11,25,11,13,0,92,180,8,1,29,1,2,73.9,2026
ADE,19,Taylor,Zac,22,141,65,129,270,13,6,0,61,8,51,16,28,12,8,0,97,180,5,7,20,3,18,72.5,2026
ADE,40,Hall-Kahan,Hugo,13,181,51,77,258,1,1,0,23,55,36,11,27,10,7,0,59,168,1,1,7,6,1,77.0,2026
ADE,44,Cumming,Isaac,17,147,68,91,238,8,0,0,47,35,36,15,35,14,16,0,76,167,4,3,40,2,8,74.3,2026
ADE,35,Borlase,James,19,116,71,78,194,0,1,0,24,29,8,1,23,13,6,0,71,121,13,0,163,0,1,87.6,2026
ADE,13,Walker,Taylor,18,140,85,53,193,35,20,0,21,1,50,1,39,18,17,3,78,124,19,35,32,0,13,76.9,2026
ADE,32,Fogarty,Darcy,16,131,81,54,185,34,12,0,34,1,31,4,46,12,16,4,83,104,19,37,12,0,11,80.3,2026
ADE,48,Keane,Mark,11,130,49,37,167,0,0,0,12,42,7,0,34,8,15,0,48,82,12,0,64,0,0,91.2,2026
ADE,9,Murray,Nick,11,97,48,39,136,2,0,0,21,45,13,2,20,7,10,0,41,87,7,0,88,0,2,90.8,2026
ADE,41,Butts,Jordon,9,57,40,44,101,1,1,0,5,21,6,4,18,4,10,0,40,62,9,0,52,0,0,86.2,2026
ADE,4,Ah Chee,Callum,9,52,28,46,98,9,6,0,17,8,16,6,23,4,9,0,34,67,0,6,14,5,6,70.2,2026
ADE,10,Pedlar,Luke,10,59,29,36,95,8,6,0,21,4,17,4,20,8,3,0,36,58,2,7,5,3,3,67.3,2026
ADE,39,Murray,Toby,13,60,34,21,81,9,5,106,27,4,17,12,22,17,11,0,42,45,6,10,25,0,4,54.9,2026
ADE,21,Bond,Hugh,7,53,22,24,77,0,1,0,17,16,5,4,11,2,4,0,24,55,0,1,12,1,0,83.4,2026
BRL,9,Neale,Lachie,26,347,138,408,755,5,9,0,69,43,104,178,56,32,7,20,333,406,4,7,16,12,21,82.4,2026
BRL,8,Ashcroft,Will,26,438,129,302,740,17,19,0,89,53,132,142,81,33,19,27,247,456,1,5,9,33,21,82.3,2026
BRL,5,Dunkley,Josh,26,270,122,283,553,4,7,0,177,36,80,79,76,22,21,1,224,319,8,8,50,0,14,79.0,2026
BRL,33,Bailey,Zac,25,350,137,190,540,34,25,0,73,48,113,75,78,23,22,13,188,349,7,19,21,9,29,83.8,2026
BRL,44,Wilmot,Darcy,26,403,167,137,540,1,1,0,44,98,43,28,54,12,25,3,129,313,12,0,58,13,2,84.1,2026
BRL,10,Ashcroft,Levi,26,308,148,198,506,14,14,0,36,39,58,43,46,19,7,1,136,358,3,10,21,12,13,77.2,2026
BRL,3,Fletcher,Jaspa,26,323,145,169,492,3,2,0,36,80,54,24,56,6,21,0,117,327,6,1,22,15,6,83.7,2026
BRL,16,Rayner,Cam,26,242,108,167,409,27,23,1,67,10,98,59,76,21,25,0,177,232,13,22,32,5,29,81.7,2026
BRL,15,Zorko,Dayne,16,313,102,84,397,4,1,0,27,99,46,18,46,16,8,1,66,252,2,0,20,6,8,77.9,2026
BRL,7,Berry,Jarrod,21,237,111,149,386,5,8,0,53,52,52,46,52,18,11,3,132,248,3,7,21,1,11,73.0,2026
BRL,35,Lester,Ryan,22,240,154,108,348,1,1,0,30,59,37,12,41,10,10,0,93,238,15,0,82,0,2,86.0,2026
BRL,1,Lohmann,Kai,26,208,96,122,330,53,26,0,77,9,69,28,75,21,34,5,146,193,15,44,12,16,20,79.5,2026
BRL,31,Andrews,Harris,23,205,166,118,323,0,1,0,31,59,15,1,30,12,14,0,128,180,47,0,168,0,2,94.0,2026
BRL,23,Cameron,Charlie,26,238,99,65,303,58,28,0,53,11,68,15,54,22,20,0,93,195,7,47,31,11,19,79.1,2026
BRL,13,Morris,Logan,25,222,123,66,288,69,46,1,38,0,50,4,49,29,9,9,109,170,23,78,20,0,18,76.8,2026
BRL,6,McCluggage,Hugh,16,162,66,124,286,13,8,0,52,24,51,51,54,11,13,2,114,179,1,10,13,1,7,69.0,2026
BRL,38,Reville,Bruce,18,184,87,92,276,5,9,0,23,29,59,18,27,3,13,0,74,198,4,7,11,4,6,73.7,2026
BRL,32,Fort,Darcy,25,169,75,103,272,8,3,384,37,23,51,78,59,26,28,0,167,112,24,9,62,0,10,60.2,2026
BRL,2,Draper,Sam,25,194,58,55,249,16,12,534,24,26,64,95,79,30,32,0,156,74,21,18,64,1,11,66.4,2026
BRL,26,McKenna,Conor,20,194,45,52,246,24,16,0,29,11,71,6,39,8,13,0,61,158,2,10,24,17,20,77.6,2026
BRL,18,Coleman,Keidean,13,155,70,56,211,2,0,0,16,34,33,4,17,7,4,0,52,140,3,2,24,1,4,70.2,2026
BRL,43,Answerth,Noah,16,139,74,50,189,0,0,0,28,40,26,6,39,5,14,0,48,145,0,0,42,1,4,79.4,2026
BRL,22,Gallop,Ty,20,155,95,32,187,1,3,2,43,43,29,1,43,8,19,0,72,122,19,4,114,0,2,86.4,2026
BRL,27,Gardiner,Darcy,15,95,68,50,145,0,0,0,14,30,8,4,34,9,19,0,54,95,7,0,97,1,1,84.0,2026
BRL,29,Tunstill,James,11,85,46,57,142,2,3,0,13,13,18,6,14,2,1,0,45,98,1,3,18,2,3,73.7,2026
BRL,30,Hipwood,Eric,13,100,59,39,139,20,10,0,23,6,25,2,43,13,14,1,59,83,15,23,23,0,6,73.0,2026
BRL,4,Allen,Oscar,14,83,50,24,107,23,11,10,17,5,19,4,18,14,8,0,42,67,6,21,14,1,7,75.1,2026
BRL,11,McCarthy,Lincoln,8,78,38,26,104,6,3,0,14,8,18,6,28,5,10,0,36,65,4,5,4,0,5,76.1,2026
BRL,20,Marshall,Sam,2,13,6,20,33,0,0,0,4,5,3,1,6,2,1,0,11,21,0,0,3,1,1,75.0,2026
BRL,41,Joyce,Darragh,3,26,19,4,30,0,0,0,1,7,0,0,3,0,1,0,4,25,2,0,10,0,0,87.0,2026
CAR,18,Walsh,Sam,25,320,104,407,727,8,11,0,102,44,109,109,97,26,30,14,251,475,0,5,16,11,9,78.5,2026
CAR,9,Cripps,Patrick,25,256,66,400,656,16,18,3,122,16,86,188,125,45,53,27,359,292,12,16,28,1,5,80.7,2026
CAR,7,Smith,Jagga,25,261,77,361,622,10,7,0,68,23,84,111,60,22,16,12,230,397,1,6,14,11,13,75.4,2026
CAR,14,Florent,Oliver,25,379,129,185,564,2,3,0,54,125,66,29,72,10,19,2,139,346,3,0,33,13,6,82.5,2026
CAR,29,Hewett,George,21,226,86,270,496,13,9,0,89,21,65,89,57,28,18,13,191,310,4,2,15,0,10,71.7,2026
CAR,5,Cerra,Adam,22,264,113,188,452,4,4,0,79,53,60,41,61,16,14,0,129,297,3,2,21,6,7,75.4,2026
CAR,12,Ainsworth,Ben,25,255,136,188,443,30,20,0,35,10,84,26,58,9,13,2,97,345,3,27,7,9,16,78.8,2026
CAR,2,Cowan,Lachlan,24,257,131,116,373,0,0,0,47,89,40,15,54,7,15,0,92,275,12,0,75,6,6,81.8,2026
CAR,26,Haynes,Nick,19,239,149,105,344,0,0,0,25,62,22,5,43,9,10,0,71,266,7,2,83,5,3,85.7,2026
CAR,19,Hayward,Will,21,201,120,142,343,24,16,0,39,17,59,6,57,15,22,0,110,232,20,26,17,1,7,78.3,2026
CAR,24,Newman,Nic,16,258,109,84,342,1,1,0,40,61,33,5,31,11,14,0,45,220,3,1,21,10,2,79.0,2026
CAR,15,Wilson,Billy,17,220,86,119,339,0,1,0,33,65,30,12,37,7,11,0,67,226,0,0,17,19,2,75.7,2026
CAR,44,Evans,Francis,23,190,66,122,312,24,15,0,85,15,72,12,48,30,20,0,128,183,7,15,12,3,19,77.0,2026
CAR,10,McKay,Harry,23,203,123,98,301,35,27,33,33,7,50,27,59,43,24,4,166,140,35,40,22,1,6,82.7,2026
CAR,27,Pittonet,Marc,22,130,30,150,280,10,4,522,64,24,22,105,78,26,35,1,189,76,14,8,51,0,4,71.6,2026
CAR,17,Kemp,Brodie,25,183,131,96,279,39,27,0,50,4,43,1,52,14,16,0,87,194,17,60,23,0,18,88.1,2026
CAR,11,McGovern,Mitch,25,180,104,79,259,34,16,0,47,12,46,3,48,24,8,0,100,156,19,41,52,3,12,77.1,2026
CAR,35,Dean,Harry,22,157,107,101,258,1,0,0,28,40,12,4,36,25,13,1,80,178,9,0,117,0,2,80.0,2026
CAR,13,Acres,Blake,12,150,77,93,243,3,8,0,27,26,34,9,28,4,6,0,53,184,1,7,15,2,9,82.2,2026
CAR,4,Hollands,Oliver,14,155,77,81,236,4,1,0,49,36,32,10,43,15,13,0,57,170,1,3,17,7,8,85.4,2026
CAR,36,Lord,Cooper,11,126,54,95,221,4,3,0,26,20,28,13,24,9,4,0,53,170,3,3,8,2,4,76.5,2026
CAR,46,Cottrell,Matthew,14,131,51,74,205,6,9,0,35,18,39,5,19,8,4,0,60,143,3,10,14,1,10,79.1,2026
CAR,47,Derksen,Wade,15,134,80,66,200,0,0,0,12,33,6,2,35,6,8,0,65,126,9,1,73,4,2,83.0,2026
CAR,23,Weitering,Jacob,14,140,102,59,199,0,0,2,10,40,4,0,17,6,6,0,61,134,14,0,108,0,0,88.7,2026
CAR,39,Byrne,Talor,20,107,63,70,177,15,12,0,50,7,31,9,32,24,15,0,74,109,4,19,22,2,13,69.1,2026
CAR,6,Williams,Zac,9,100,26,57,157,2,3,0,26,27,23,22,17,6,8,0,63,85,1,2,10,6,2,71.6,2026
CAR,33,Young,Lewis,14,69,47,76,145,2,6,38,19,22,12,13,32,6,15,0,63,80,10,9,77,0,2,76.1,2026
CAR,32,Carroll,Matt,10,92,43,48,140,9,2,0,8,14,34,3,18,2,7,0,50,87,8,6,19,3,4,69.6,2026
CAR,20,Hollands,Elijah,6,53,17,40,93,5,1,0,8,7,16,4,17,6,6,0,35,59,2,1,4,0,2,74.5,2026
CAR,30,Ison,Jack,8,60,30,30,90,3,10,0,13,1,19,2,20,6,7,0,39,52,1,5,11,1,6,70.3,2026
COL,35,Daicos,Nick,23,432,92,365,797,26,20,0,58,56,152,130,115,32,20,47,248,494,2,5,11,52,21,85.7,2026
COL,7,Daicos,Josh,24,391,140,260,651,1,6,0,75,111,75,36,60,14,15,2,135,461,0,6,13,5,10,84.0,2026
COL,9,Houston,Dan,24,322,152,186,508,6,13,0,60,105,54,21,63,12,15,0,114,316,8,4,44,5,7,81.0,2026
COL,25,Crisp,Jack,24,250,118,240,490,6,6,0,102,50,78,49,66,17,16,4,179,314,6,8,39,4,5,78.8,2026
COL,2,de Goey,Jordan,22,261,106,210,471,21,12,0,52,28,91,55,62,15,15,8,143,319,9,15,14,1,21,78.0,2026
COL,14,Cameron,Darcy,23,209,87,199,408,3,4,561,80,31,35,107,78,49,29,1,255,142,24,6,35,0,7,78.7,2026
COL,1,Lipinski,Patrick,20,174,89,234,408,10,12,0,47,36,50,32,40,8,10,0,106,300,2,12,19,0,10,81.3,2026
COL,10,Pendlebury,Scott,17,161,74,221,382,5,6,0,44,28,35,57,37,11,8,5,123,248,1,5,16,0,17,67.7,2026
COL,3,Quaynor,Isaac,21,210,122,148,358,0,0,0,58,91,27,9,43,14,14,0,88,256,5,0,76,11,2,82.7,2026
COL,44,Long,Ned,22,137,56,220,357,7,13,1,143,15,53,53,70,12,20,0,144,211,2,11,33,0,13,72.8,2026
COL,22,Sidebottom,Steele,21,180,91,157,337,4,2,0,42,41,43,30,43,5,9,2,104,232,4,4,26,15,3,79.1,2026
COL,31,McCreery,Beau,23,169,50,163,332,13,10,0,112,13,84,38,72,11,25,0,131,192,4,6,23,24,16,77.6,2026
COL,16,Allan,Edward,19,124,27,191,315,6,5,0,99,17,53,48,59,16,22,0,123,195,0,0,19,7,5,71.4,2026
COL,8,Schultz,Lachie,22,168,91,143,311,24,18,0,101,9,56,18,48,30,18,0,116,193,9,30,18,0,17,78.5,2026
COL,4,Maynard,Brayden,17,224,88,82,306,1,2,0,68,68,34,8,54,14,19,0,78,211,5,1,67,0,4,78.4,2026
COL,38,Howe,Jeremy,18,240,111,57,297,1,0,0,20,76,13,2,34,12,11,0,73,153,19,1,106,1,2,88.3,2026
COL,17,Frampton,Billy,24,175,131,105,280,0,0,0,27,74,10,2,50,22,26,0,95,187,16,0,195,1,0,96.6,2026
COL,45,Steele,Roan,19,159,57,116,275,15,10,0,37,21,41,26,36,7,5,0,88,176,2,8,21,0,8,79.4,2026
COL,12,Perryman,Harry,16,168,72,93,261,0,2,0,44,49,32,7,33,6,7,0,59,193,5,0,31,3,2,74.3,2026
COL,11,McStay,Daniel,24,141,99,101,242,47,15,72,73,4,48,24,47,23,15,3,131,112,37,46,32,0,10,77.6,2026
COL,28,Membrey,Tim,20,133,104,93,226,33,19,0,20,1,30,2,29,5,10,1,72,157,14,54,27,0,8,81.2,2026
COL,41,Anderson,Angus,17,116,42,81,197,20,14,0,56,13,38,15,41,16,11,0,78,115,1,11,14,0,11,70.1,2026
COL,32,Swadling,Sam,9,93,36,87,180,6,1,0,10,21,23,14,18,2,3,1,49,124,0,2,7,4,0,66.7,2026
COL,5,Elliott,Jamie,11,73,39,57,130,17,7,0,16,0,17,7,25,5,7,1,42,83,3,19,7,0,9,82.9,2026
COL,36,Harrison,Harvey,12,80,40,48,128,4,3,0,37,3,27,7,22,8,3,0,30,100,1,9,4,3,10,71.7,2026
COL,34,Buller,Jack,10,41,36,39,80,7,8,3,14,0,6,2,24,6,14,0,30,50,10,20,12,0,0,75.3,2026
COL,39,Hayes,Will,10,39,21,28,67,8,4,0,12,2,15,1,8,5,2,0,21,49,1,3,1,0,3,66.8,2026
COL,21,Steene,Oscar,8,23,18,44,67,4,0,91,12,0,8,15,18,14,7,0,41,24,5,4,7,0,1,59.9,2026
COL,29,West,Charlie,9,35,24,32,67,9,6,1,10,1,10,1,15,7,4,0,38,27,12,7,16,0,2,73.2,2026
COL,15,Parker,Wil,5,27,16,28,55,0,0,0,6,11,5,1,12,2,5,0,20,34,0,0,12,0,0,76.0,2026
ESS,7,Merrett,Zach,23,330,106,299,629,10,6,0,108,57,89,79,64,35,15,9,183,423,5,9,31,15,11,83.4,2026
ESS,21,Roberts,Archie,21,407,115,183,590,2,2,0,25,118,60,23,66,12,23,1,126,374,7,1,16,14,7,83.4,2026
ESS,22,Durham,Sam,20,189,72,213,402,9,6,0,79,23,80,82,78,23,35,4,179,233,8,9,21,9,12,75.2,2026
ESS,1,McGrath,Andrew,20,194,77,190,384,2,1,0,55,65,45,23,24,10,9,0,109,257,1,1,20,18,9,79.3,2026
ESS,2,Farrow,Jacob,21,225,128,145,370,4,3,0,37,63,33,13,35,12,9,0,84,267,2,4,8,13,3,79.4,2026
ESS,25,Prior,Jaxon,22,264,106,101,365,1,5,0,47,82,31,8,38,21,10,0,85,242,4,3,58,15,6,83.2,2026
ESS,3,Parish,Darcy,14,171,52,172,343,2,5,0,34,17,62,74,52,14,16,6,130,215,1,1,4,1,10,74.6,2026
ESS,31,Reid,Zach,23,218,139,93,311,1,1,3,32,74,10,2,42,13,15,0,71,204,13,2,111,4,1,87.3,2026
ESS,6,Caldwell,Jye,17,145,49,161,306,6,10,0,84,22,40,56,45,15,15,0,129,184,1,3,9,2,7,70.2,2026
ESS,4,Langford,Kyle,19,172,95,126,298,4,9,1,37,43,23,8,44,17,16,0,105,185,11,12,46,2,4,84.3,2026
ESS,28,Duursma,Xavier,18,138,89,149,287,8,3,0,36,20,21,17,33,21,7,0,94,196,8,6,20,5,2,77.8,2026
ESS,27,Redman,Mason,16,212,80,74,286,3,4,0,25,67,26,9,26,16,9,0,63,186,6,1,42,9,7,78.6,2026
ESS,15,Sharp,Dyson,15,135,53,130,265,3,2,0,56,5,43,47,35,16,7,2,107,154,3,3,10,1,8,71.1,2026
ESS,12,Setterfield,Will,11,140,42,116,256,3,2,0,57,18,39,40,35,11,16,1,98,156,1,3,6,0,5,79.0,2026
ESS,9,Robey,Sullivan,15,111,46,130,241,9,2,0,48,9,48,56,58,11,20,0,110,143,3,5,8,5,4,76.4,2026
ESS,44,Day-Wicks,Archer,21,111,56,123,234,7,11,0,71,13,40,10,56,11,20,0,77,162,3,13,35,2,4,76.6,2026
ESS,30,Caddy,Nate,22,169,93,60,229,46,36,2,25,2,41,3,52,27,13,1,92,141,21,48,22,3,11,86.6,2026
ESS,16,Perkins,Archie,16,131,86,96,227,7,10,0,23,10,50,1,29,7,6,0,56,172,4,12,8,7,7,76.8,2026
ESS,20,Wright,Peter,18,132,77,85,217,28,17,196,26,15,21,22,40,27,19,0,99,124,15,34,49,0,8,83.5,2026
ESS,10,Kako,Isaac,15,76,25,88,164,9,8,0,30,2,30,12,33,4,14,0,72,90,1,7,13,6,5,78.1,2026
